Time,Delta_W,Cumulative_W
314,7.575720560716245e-08,0.3258369861742426
314,8.372466047171331e-08,0.3258370698989031
314,1.6860076170695924e-07,0.3258372384996648
314,1.8633265860393355e-07,0.32583742483232336
314,3.752278957538429e-07,0.3258378000602191
314,1.6816547592859484e-06,0.3258394817149784
314,1.8585159342063369e-06,0.3258413402309126
314,1.8537177022954413e-05,0.32585987740793554
314,4.125524616329523e-05,0.3259011326540988
314,0.0016686634980163041,0.3275697961521151
331,-1.6693598226095236e-10,0.32756979598517916
331,-4.526075009906555e-09,0.32756979145910414
331,-4.5143897952985275e-08,0.3275697463152062
331,-1.498830195519981e-07,0.32756959643218664
331,-4.5027347490461146e-07,0.32756914615871174
331,-6.717290905554564e-07,0.32756847442962117
331,-9.020635157865434e-05,0.32747826807804253
331,-0.007347385695178914,0.32013088238286364
331,-0.01096101144316408,0.30916987093969955
347,-9.137987846827577e-10,0.3091698700259008
347,-9.114395805413783e-09,0.309169860911505
347,-3.026085975407328e-08,0.30916983065064524
347,-9.090864672859493e-08,0.3091697397419985
347,-1.3561976441886326e-07,0.3091696041222341
347,-1.8212348284732005e-05,0.30915139177394935
347,-0.0014834115882203633,0.307667980185729
347,-0.002212990044074401,0.3054549901416546
356,-3.715228609598423e-10,0.30545498977013175
356,-3.705636801348218e-09,0.30545498606449495
356,-1.230314745367156e-08,0.3054549737613475
356,-3.696069756792316e-08,0.30545493680064995
356,-5.5138881473877426e-08,0.3054548816617685
356,-7.404588245200774e-06,0.30544747707352327
356,-0.0006031101446780151,0.30484436692884526
356,-0.0008997346092286621,0.3039446323196166
383,-2.4903922126189343e-10,0.30394463207057737
383,-8.268393329367431e-10,0.30394463124373805
383,-2.4839626312711e-09,0.3039446287597754
383,-3.705636801348218e-09,0.3039446250541386
383,-4.976291496454423e-07,0.30394412742498894
383,-4.0532326511630664e-05,0.3039035950984773
383,-6.046712574291063e-05,0.3038431279727344
389,-1.3667562247232226e-10,0.30384312783605877
389,-4.5377904709590837e-10,0.3038431273822797
389,-1.3632275956643133e-09,0.3038431260190521
389,-2.0336965957181544e-09,0.3038431239853555
389,-2.7310466778499384e-07,0.30384285088068774
389,-2.224461242754529e-05,0.3038206062682602
389,-3.3185062208870015e-05,0.3037874212060513
393,1.3911331855079366e-10,0.3037874213451646
393,6.234626392875495e-10,0.30378742196862724
393,6.890327774472859e-10,0.30378742265766
393,6.87253863960698e-09,0.30378742953019866
393,1.529511602509129e-08,0.30378744482531467
393,6.186462130894111e-07,0.30378806347152776
393,0.00010147153181478671,0.30388953500334254
393,0.0005025917872316793,0.3043921267905742
393,0.0012361763235169696,0.30562830311409117
393,0.018393972058572117,0.3240222751726633
393,0.03351600230178197,0.3575382774744453
394,1.258749359719139e-10,0.3575382776003202
394,5.641323247748303e-10,0.35753827816445255
394,6.234626392875495e-10,0.35753827878791516
394,6.218530118014348e-09,0.3575382850064453
394,1.3839593292704037e-08,0.3575382988460386
394,5.59774242129547e-07,0.35753885862028073
394,9.181523885144536e-05,0.35763067385913216
394,0.0004547638550847908,0.35808543771421697
394,0.0011185385928082802,0.3592039763070253
394,0.01664355418490398,0.37584753049192926
394,0.030326532985631673,0.4061740634775609
404,2.0753268438491118e-10,0.40617406368509357
404,2.293590873323762e-10,0.40617406391445265
404,2.287669384722906e-09,0.40617406620212204
404,5.091301846559993e-09,0.40617407129342387
404,2.059294353767854e-07,0.40617427722285926
404,3.377693875969222e-05,0.4062080541616189
404,0.0001672982728735636,0.40637535243449247
404,0.00041148735245100153,0.40678683978694347
404,0.006122821412649096,0.41290966119959255
404,0.011156508007421491,0.42406616920701407
416,-1.3667562247232226e-10,0.42406616907033845
416,-1.8354139230109548e-08,0.42406615071619924
416,-1.4949605838901922e-06,0.42406465575561536
416,-2.230219121047604e-06,0.4240624255364943
416,-0.006015530623368225,0.4180468949131261
416,-0.006648189501740032,0.41139870541138607
416,-0.018071652714732128,0.3933270526966539
419,5.104480361798819e-10,0.39332705320710193
419,1.136022996386928e-09,0.3933270543431249
419,4.594906789489786e-08,0.3933271002921928
419,7.5366537547738255e-06,0.39333463694594756
419,3.732929041883396e-05,0.3933719662363664
419,9.181523885144536e-05,0.3934637814752178
419,0.0013661861223646281,0.39482996759758243
419,0.0024893534183931974,0.3973193210159756
419,0.0370409110340859,0.4343602320500615
419,-1.012517914505119e-10,0.43436023194880974
419,-1.3597080766594258e-08,0.434360218351729
419,-1.1074940397468335e-06,0.43435911085768925
419,-1.6521869609848295e-06,0.4343574586707283
