Gene,OnsetIndex,Rank,Percentile,Phase
ENSG00000196189.13,0,1,0.0,Phase I
ENSG00000198400.11,18,3289,94.29308861485518,Phase IV
ENSG00000160856.21,0,1,0.0,Phase I
ENSG00000158473.6,0,1,0.0,Phase I
ENSG00000158477.7,20,3349,96.01376541439632,Phase IV
ENSG00000158481.13,1,2950,84.57126469744767,Phase II
ENSG00000158488.16,4,3014,86.40665328362489,Phase II
ENSG00000163563.8,0,1,0.0,Phase I
ENSG00000163564.14,0,1,0.0,Phase I
ENSG00000163565.18,0,1,0.0,Phase I
ENSG00000163568.15,0,1,0.0,Phase I
ENSG00000213088.11,21,3354,96.15715514769144,Phase IV
ENSG00000179639.10,39,3428,98.27932320045883,Phase IV
ENSG00000158714.11,18,3289,94.29308861485518,Phase IV
ENSG00000162736.17,0,1,0.0,Phase I
ENSG00000162739.14,0,1,0.0,Phase I
ENSG00000066294.14,0,1,0.0,Phase I
ENSG00000117090.15,0,1,0.0,Phase I
ENSG00000026751.17,0,1,0.0,Phase I
ENSG00000122224.18,0,1,0.0,Phase I
ENSG00000122223.13,0,1,0.0,Phase I
ENSG00000179914.5,16,3231,92.62976770863206,Phase III
ENSG00000158769.18,0,1,0.0,Phase I
ENSG00000158869.11,0,1,0.0,Phase I
ENSG00000143226.13,0,1,0.0,Phase I
ENSG00000173110.8,0,1,0.0,Phase I
ENSG00000203747.11,0,1,0.0,Phase I
ENSG00000162747.11,0,1,0.0,Phase I
ENSG00000072694.20,0,1,0.0,Phase I
ENSG00000132185.16,0,1,0.0,Phase I
ENSG00000162746.14,18,3289,94.29308861485518,Phase IV
ENSG00000198574.6,0,1,0.0,Phase I
ENSG00000185630.18,0,1,0.0,Phase I
ENSG00000143195.13,66,3478,99.7132205334098,Phase IV
ENSG00000143190.23,0,1,0.0,Phase I
ENSG00000198821.10,0,1,0.0,Phase I
ENSG00000143162.9,0,1,0.0,Phase I
ENSG00000143185.4,26,3361,96.35790077430455,Phase IV
ENSG00000143184.5,18,3289,94.29308861485518,Phase IV
ENSG00000174175.17,0,1,0.0,Phase I
ENSG00000188404.9,0,1,0.0,Phase I
ENSG00000075945.13,0,1,0.0,Phase I
ENSG00000197959.14,0,1,0.0,Phase I
ENSG00000117560.8,0,1,0.0,Phase I
ENSG00000117586.11,0,1,0.0,Phase I
ENSG00000076321.11,0,1,0.0,Phase I
ENSG00000185278.15,0,1,0.0,Phase I
ENSG00000135870.11,0,1,0.0,Phase I
ENSG00000143322.20,0,1,0.0,Phase I
ENSG00000057252.13,0,1,0.0,Phase I
ENSG00000116260.17,0,1,0.0,Phase I
ENSG00000153029.14,0,1,0.0,Phase I
ENSG00000135828.11,0,1,0.0,Phase I
ENSG00000135829.17,0,1,0.0,Phase I
ENSG00000135862.6,0,1,0.0,Phase I
ENSG00000116701.14,0,1,0.0,Phase I
ENSG00000162704.16,0,1,0.0,Phase I
ENSG00000047410.14,0,1,0.0,Phase I
ENSG00000073756.12,0,1,0.0,Phase I
ENSG00000116711.10,0,1,0.0,Phase I
ENSG00000116747.12,0,1,0.0,Phase I
ENSG00000134371.12,0,1,0.0,Phase I
ENSG00000000971.15,1,2950,84.57126469744767,Phase II
ENSG00000213047.13,0,1,0.0,Phase I
ENSG00000081237.20,0,1,0.0,Phase I
ENSG00000116833.14,13,3192,91.5113277889303,Phase III
ENSG00000118193.12,0,1,0.0,Phase I
ENSG00000163362.11,4,3014,86.40665328362489,Phase II
ENSG00000163435.16,2,2968,85.08746773731,Phase II
ENSG00000143862.8,0,1,0.0,Phase I
ENSG00000143851.15,0,1,0.0,Phase I
ENSG00000117153.16,0,1,0.0,Phase I
ENSG00000159346.13,0,1,0.0,Phase I
ENSG00000133048.13,0,1,0.0,Phase I
ENSG00000133063.16,0,1,0.0,Phase I
ENSG00000122188.12,0,1,0.0,Phase I
ENSG00000143842.15,17,3246,93.05993690851734,Phase III
ENSG00000163531.15,4,3014,86.40665328362489,Phase II
ENSG00000069275.13,0,1,0.0,Phase I
ENSG00000117280.13,0,1,0.0,Phase I
ENSG00000196188.11,43,3440,98.62345856036708,Phase IV
ENSG00000263961.8,18,3289,94.29308861485518,Phase IV
ENSG00000263528.8,0,1,0.0,Phase I
ENSG00000266094.7,0,1,0.0,Phase I
ENSG00000162889.10,0,1,0.0,Phase I
ENSG00000136634.6,8,3128,89.67593920275309,Phase III
ENSG00000162894.12,0,1,0.0,Phase I
ENSG00000162896.6,34,3415,97.9065098938916,Phase IV
ENSG00000123838.11,7,3113,89.2457700028678,Phase II
ENSG00000196352.15,0,1,0.0,Phase I
ENSG00000117322.17,0,1,0.0,Phase I
ENSG00000203710.11,0,1,0.0,Phase I
ENSG00000197721.16,0,1,0.0,Phase I
ENSG00000117335.19,0,1,0.0,Phase I
ENSG00000174059.16,4,3014,86.40665328362489,Phase II
ENSG00000009790.15,0,1,0.0,Phase I
ENSG00000117595.12,51,3458,99.13966160022942,Phase IV
