,ENSG00000230092.7,ENSG00000215912.12,ENSG00000116213.16,ENSG00000162408.11,ENSG00000162441.12,ENSG00000116685.16,ENSG00000142632.17,ENSG00000157191.20,ENSG00000218510.8,ENSG00000117640.18,ENSG00000158062.20,ENSG00000009780.15,ENSG00000242125.3,ENSG00000180098.9,ENSG00000221539.1,ENSG00000229388.1,ENSG00000134686.18,ENSG00000284154.1,ENSG00000146463.11,ENSG00000092853.14,ENSG00000271554.1,ENSG00000196449.4,ENSG00000214114.9,ENSG00000171960.11,ENSG00000117408.11,ENSG00000222009.8,ENSG00000085998.14,ENSG00000123472.12,ENSG00000226147.1,ENSG00000162604.12,ENSG00000162434.12,ENSG00000162433.15,ENSG00000066557.6,ENSG00000116754.13,ENSG00000162623.16,ENSG00000162613.16,ENSG00000197147.13,ENSG00000239794.3,ENSG00000067208.14,ENSG00000154511.12,ENSG00000283761.1,ENSG00000143126.8,ENSG00000213366.13,ENSG00000168679.18,ENSG00000235527.6,ENSG00000116824.5,ENSG00000134247.10,ENSG00000196369.11,ENSG00000276216.1,ENSG00000162825.16
ENSG00000222009.8,0.20408355846748374,0.11082341392708324,0.0,0.0,0.0,0.0,0.022359960949849683,0.0,0.0,0.0,0.0,0.21567515897859826,0.0,0.0,0.47775902749237953,0.0,0.0,0.0,0.222272504041588,0.0,0.0,0.0,0.0,0.25493073405479394,0.0,0.0,0.4044505623163135,0.1521807534375321,0.0,0.1888385282983903,0.0,0.0,0.0,0.0,0.29490612875089744,0.0,0.0,0.0,0.10362739635216647,0.0,0.0,0.33520133333050967,0.0,0.0,0.06638728691088291,0.3626132057963983,0.38753273034585894,0.0,0.1246936909299313,0.0
ENSG00000085998.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06532925056876158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10620392729505736,0.0,0.0,0.0,0.044719045444011216,0.0,0.0,0.0,0.0706309586120426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000123472.12,0.0,0.0,0.0,0.0,0.0,0.0,0.02911040946845544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005762281189155747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17462019977711363,0.04323847848302533,0.0,0.0,0.0,0.0,0.0,0.05060019782264995,0.0,0.0,0.06598541318191462,0.0,0.0,0.0
ENSG00000226147.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0941320875723403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08769663357213714,0.0,0.0,0.0
ENSG00000162604.12,0.15062233297098107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162434.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022420906189948766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031580134643854264,0.03301473886422863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15422289821152865,0.0,0.2609947540775595,0.0,0.0,0.0,0.23991270120558617,0.0,0.0,0.03748908148163112,0.0
ENSG00000162433.15,0.0,0.0,0.0,0.0,0.29495746937776596,0.0,0.0,0.0,0.14208693030216485,0.0,0.0,0.0,0.02229415702974234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16138804135229104,0.0,0.0,0.0,0.0,0.0,0.0,0.1384062020915312,0.0,0.0,0.0,0.0,0.0,0.3345592403095845,0.0,0.0,0.05143784838338292,0.0,0.13834749282811437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000066557.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19913691499469352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006520497235410903,0.0,0.0,0.0,0.0
ENSG00000116754.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12585780051844048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1193051460752431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000162623.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22564707646263976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17914530798014747,0.0,0.12126735311411319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06355858374178794,0.0,0.0,0.0,0.0,0.0,0.0,0.029621977771216765,0.0,0.0,0.0
ENSG00000162613.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024170625741224284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18889073706968307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15910632125564822,0.0,0.0,0.0,0.0,0.0,0.0,0.018202740868205138,0.0,0.0,0.0,0.0
ENSG00000197147.13,0.0,0.09805992169260896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283958807229604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36201553683598064,0.0,0.0,0.0,0.0,0.0014027050802826622,0.0,0.0,0.0,0.0,0.40375232359944346,0.0,0.0
ENSG00000239794.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004699772687012556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000067208.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355479262387879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000154511.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1491476434539577,0.0,0.0,0.0,0.0,0.0,0.0,0.24765572485445622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000283761.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008432582700368443,0.0,0.0,0.0,0.0,0.08202533654752016,0.06985021015002257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24292197316679948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19333772880288708,0.0,0.0
ENSG00000143126.8,0.0,0.31303813265884795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04328864339667788,0.0,0.0,0.29749119473762564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025305858893460806,0.0,0.0,0.0,0.0,0.1329714144801311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1376855999880001,0.0,0.0,0.0
ENSG00000213366.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12070630515047924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18514560868912294,0.0
