,BLOC1S3-AS-1,LINC-ADAMTS19-1,ABHD2-AS-1,AC116366.3-AS-3,AC119396.1-AS-3,ARHGEF5-AS-1,ARL6IP5-AS-1,ARPC1B-AS-1,ATXN3-AS-1,BCAS3-AS-1,CHD4-AS-2,CHST11-AS-1,CREB3L2-AS-1,CRY1-AS-1,DENND1A-AS-1,EIF4EBP2-AS-1,ENSG00000001460.18,ENSG00000004864.13,ENSG00000006756.16,ENSG00000011243.18,ENSG00000014257.16,ENSG00000031081.11,ENSG00000048462.11,ENSG00000063761.16,ENSG00000072952.18,ENSG00000075711.21,ENSG00000078053.17,ENSG00000094916.16,ENSG00000099381.18,ENSG00000103365.15,ENSG00000103381.12,ENSG00000105373.19,ENSG00000106399.11,ENSG00000106692.14,ENSG00000108666.10,ENSG00000110066.15,ENSG00000110448.11,ENSG00000112357.13,ENSG00000114779.19,ENSG00000117425.14,ENSG00000119013.9,ENSG00000119812.19,ENSG00000120162.10,ENSG00000122986.13,ENSG00000123159.16,ENSG00000125484.12,ENSG00000125618.17,ENSG00000125810.10,ENSG00000127399.15,ENSG00000127616.18
ENSG00000031081.11,0.0,0.16381630427596086,0.0,0.10172795399621155,0.0,0.062155352005391136,0.09602582939311585,0.0,0.0,0.025998998553268912,0.14044447750774988,0.0,0.002254928336978306,0.05144976677533271,0.0683577678921997,0.0,0.012646998070715038,0.10009303453797647,0.07284334053758738,0.017071661735151414,0.019229002102369504,0.0,0.03320609657108259,0.03297663877911103,0.17069568144110736,0.06132638995820005,0.0,0.09602582939311585,0.0,0.0,0.044696928708645806,0.0631816308514886,0.08962241919435225,0.06526320062576137,0.0,0.09505763102457314,0.0631816308514886,0.0,0.08519775552991588,0.04790032308640784,0.0,0.12807557445471665,0.05591557017791862,0.014540427300125586,0.04790407420060779,0.0,0.02085137472969137,0.12885860061234464,0.07659779241386896,0.0
ENSG00000048462.11,0.0,0.01943883468873875,0.0,0.051060454770210095,0.0,0.0,0.0,0.0,0.0,0.0,0.009788278679572285,0.0,0.0,0.0,0.0,0.0,0.054376047104434715,0.01688371401934073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012455543705669966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03078382935177791,0.03134534050797917,0.024479214086187168,0.0,0.0,0.07687577162947909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029155079773792832,0.0
ENSG00000063761.16,0.0,0.0,0.0,0.0,0.0,0.13887545673605362,0.08630878569088062,0.11145332177724901,0.03995162639546975,0.08005202090857766,0.0,0.0,0.0,0.04679491691891641,0.038895232791376494,0.050158777091417896,0.03843124461332152,0.09866806296290281,0.12311312403195057,0.051876754027399885,0.0,0.0,0.0026648872126557865,0.0,0.022658778152054686,0.1264794452661278,0.06236637727127378,0.08630878569088062,0.032009237786478156,0.008788976200621957,0.03758281621209784,0.0,0.0668503322039648,0.02949157265607094,0.0,0.0,0.0,0.0,0.05340482278988644,0.0,0.0,0.07280556467962566,0.011796630659490229,0.0,0.050921904119279035,0.013822673596649657,0.06336241045346293,0.0,0.18276262719722133,0.0
ENSG00000072952.18,0.0,0.05776695920856658,0.0,5.948711089269129e-05,0.0,0.18332485249319525,0.1416277965272788,0.0,0.0,0.0927536187710307,0.022495217271192074,0.0,0.0,0.12795681694519617,0.07031757261990078,0.0,0.060662779913991764,0.050942630403501,0.014190784032607817,0.08188618775894643,0.0,0.0,0.04620220408635967,0.0,0.0,0.19160125615412835,0.06311235455643352,0.1416277965272788,0.02923857796668852,0.0,0.0,0.0,0.11091310348987833,0.055474125031521576,0.0,0.023909066883226072,0.0,0.0,0.08968969564492366,0.0,0.0,0.08292176280777175,0.0025729822660908175,0.0,0.01455236200298974,0.0,0.05001601558399871,0.0,0.2525996779515103,0.0
ENSG00000075711.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828621231347749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013127402543871762,0.0,0.0,0.012984566875320062,0.0,0.07718151620147205,0.023250656060039933,0.0,0.0,0.13863759961576227,0.02501182255590776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000078053.17,0.0,0.0,0.011135445533602309,0.06673380065405118,0.0,0.0,0.02694668574926709,0.0,0.0,0.0026288102778040945,0.0,0.0,0.0,0.0,0.0,0.0,0.08042653670159625,0.0287767802087186,0.0,0.0,0.0,0.014963008854481994,0.019553546945064552,0.0,0.0,0.08488988637772057,0.0,0.02694668574926709,0.0,0.0,0.0,0.030021356167629073,0.08797328581929545,0.0072271595136512365,0.06064746481500561,0.09111637041014198,0.030021356167629073,0.0,0.17002933668409476,0.049457035162780556,0.014353332798918315,0.03177290506198274,0.0,0.0,0.0,0.03147924686513766,0.0,0.0,0.018104538784637924,0.0
ENSG00000094916.16,0.0,0.0,0.0,0.07928533854590344,0.0,0.0,0.0,0.0,0.0,0.009852146420385469,0.0,0.0,0.0,0.0,0.0,0.0,0.08101033332325784,0.0,0.0,0.0,0.0,0.0,0.02339441398783934,0.0,0.0,0.09410189908397901,0.0,0.0,0.0,0.00306316399855585,0.0,0.0,0.0521529049712919,0.010239766602788532,0.016676343821799913,0.05785492799216126,0.0,0.0,0.13400470944616977,0.0669992295489317,0.0,0.0037507552502414436,0.0,0.0,0.0,0.0,0.0,0.0,0.02164036066014675,0.0
ENSG00000099381.18,0.0,0.0,0.0,0.025554330457094678,0.0,0.04476158185764172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006281906592781536,0.020449093863479668,0.0,0.04451934199521765,0.0,0.0,0.01009482589973277,0.026140719817402708,0.0,0.07534220188238114,0.0,0.0,0.011010199318078381,0.0,0.0,0.0,0.0,0.0009812276508744597,0.0,0.021355309150305576,0.05955575002872532,0.020358592645761512,0.04893980534037515,0.0,0.01004995806488345,0.05577982524579046,0.0,0.059251440129861874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03605236087839053,0.0
ENSG00000103365.15,0.0,0.019689956405169354,0.0,0.0,0.0,0.02722784202548148,0.0,0.00339237168498493,0.0,0.0,0.011677701146989884,0.0,0.0,0.02253814155674186,0.02994487916699283,0.047135736933818666,0.005540157918116694,0.0,0.05381288919013349,0.0074784309611317535,0.030326532985631673,0.0,0.03644935439828077,0.0,0.0,0.0,0.0,0.0,0.04451934199521765,0.0,0.041483040993053166,0.0,0.0,0.028589269618510174,0.0,0.011472511319312421,0.0,0.012254880270899545,0.0,0.04243862240508412,0.01837770168354864,0.0,0.0,0.030326532985631673,0.0,0.0,0.009134176202636733,0.028730989805815073,0.033554513393545746,0.0
ENSG00000103381.12,0.0,0.0,0.003532857574249544,0.01388958348174485,0.0,0.05672386122447856,0.06796401335635947,0.007041143946832529,0.003400629851023052,0.0050897208282136425,0.0,0.0,0.0,0.026226022447529702,0.05309164330546362,0.0,0.03396344139220721,0.028886469641651383,0.0,0.04584585049886229,0.0,0.0,0.015462641234147551,0.0,0.0,0.08528867864209934,0.07320956618267155,0.06796401335635947,0.0,0.0,0.0,0.0,0.050767691685403904,0.044781200511035416,0.012813571740612643,0.0,0.0,0.0,0.03888528257874882,0.0,0.0004692990265984867,0.0,0.0,0.0,0.0,0.0,0.0559962482495092,0.0,0.09550895280360999,0.0
