Time,Delta_W,Cumulative_W
995,-0.024394179584435946,0.0
995,-0.02695973784703329,0.0
995,-0.029795118227484572,0.0
995,-0.03292869816564158,0.0
995,-0.036391839582758004,0.0
995,-0.040219202762138355,0.0
995,-0.04444909324090307,0.0
995,-0.04912384518467891,0.0
995,-0.054290245082157566,0.0
996,0.018393972058572117,0.0
996,0.020328482987029956,0.0
996,0.022466448205861078,0.0
996,0.024829265189570477,0.0
996,0.02744058180470132,0.0
996,0.030326532985631673,0.0
996,0.03351600230178197,0.0
996,0.0370409110340859,0.0
996,0.0409365376538991,0.0
996,0.04524187090179798,0.0
996,-0.02207276647028654,0.0
996,-0.024394179584435946,0.0
996,-0.02695973784703329,0.0
996,-0.029795118227484572,0.0
996,-0.03292869816564158,0.0
996,-0.036391839582758004,0.0
996,-0.040219202762138355,0.0
996,-0.04444909324090307,0.0
996,-0.04912384518467891,0.0
996,-0.054290245082157566,0.0
997,0.01664355418490398,0.0
997,0.018393972058572117,0.0
997,0.020328482987029956,0.0
997,0.022466448205861078,0.0
997,0.024829265189570477,0.0
997,0.02744058180470132,0.0
997,0.030326532985631673,0.0
997,0.03351600230178197,0.0
997,0.0370409110340859,0.0
997,0.0409365376538991,0.0
997,0.04524187090179798,0.0
997,-0.01997226502188477,0.0
997,-0.02207276647028654,0.0
997,-0.024394179584435946,0.0
997,-0.02695973784703329,0.0
997,-0.029795118227484572,0.0
997,-0.03292869816564158,0.0
997,-0.036391839582758004,0.0
997,-0.040219202762138355,0.0
997,-0.04444909324090307,0.0
997,-0.04912384518467891,0.0
997,-0.054290245082157566,0.0
998,0.015059710595610107,0.0
998,0.01664355418490398,0.0
998,0.018393972058572117,0.0
998,0.020328482987029956,0.0
998,0.022466448205861078,0.0
998,0.024829265189570477,0.0
998,0.02744058180470132,0.0
998,0.030326532985631673,0.0
998,0.03351600230178197,0.0
998,0.0370409110340859,0.0
998,0.0409365376538991,0.0
998,0.04524187090179798,0.0
998,-0.018071652714732128,0.0
998,-0.01997226502188477,0.0
998,-0.02207276647028654,0.0
998,-0.024394179584435946,0.0
998,-0.02695973784703329,0.0
998,-0.029795118227484572,0.0
998,-0.03292869816564158,0.0
998,-0.036391839582758004,0.0
998,-0.040219202762138355,0.0
998,-0.04444909324090307,0.0
998,-0.04912384518467891,0.0
998,-0.054290245082157566,0.0
999,0.01362658965170063,0.0
999,0.015059710595610107,0.0
999,0.01664355418490398,0.0
999,0.018393972058572117,0.0
999,0.020328482987029956,0.0
999,0.022466448205861078,0.0
999,0.024829265189570477,0.0
999,0.02744058180470132,0.0
999,0.030326532985631673,0.0
999,0.03351600230178197,0.0
999,0.0370409110340859,0.0
999,0.0409365376538991,0.0
999,0.04524187090179798,0.0
999,-0.016351907582040755,0.0
999,-0.018071652714732128,0.0
999,-0.01997226502188477,0.0
999,-0.02207276647028654,0.0
999,-0.024394179584435946,0.0
999,-0.02695973784703329,0.0
999,-0.029795118227484572,0.0
999,-0.03292869816564158,0.0
999,-0.036391839582758004,0.0
999,-0.040219202762138355,0.0
999,-0.04444909324090307,0.0
999,-0.04912384518467891,0.0
999,-0.054290245082157566,0.0
